Website,Name,Price,Unprice,Sale,Promotion,Summary,Status,Brand,price_range,Type
https://philong.com.vn,"máy in laser màu đơn năng brother hl-l3230cdn (a4, duplex, network)",6690000,6690000 đ,0,"Khuyến mại: Tặng Ổ cắm điện Pisen 005EP/PSCXB-01A trị giá 210.000 Đ
CTKM Áp dụng đến hết 20/02/2023","Máy in laser màu khổ A4
Tốc độ in: in 2 mặt 18 trang/phút
In 2 mặt tự động
Độ phân giải 2400 x 600 dpi
Kết nối: USB 2.0, Network
Dùng mực TN-263BK/CMY",1,brother,5M to 10M,máy in laser màu đơn năng
https://philong.com.vn,đế tản nhiệt laptop coolcold n100 premium,0,0 đ,0,Không có,"Tính năng: Thích hợp cho Laptop từ 15""6 inch trở xuống
Chất liệu: nhựa ABS+ Kim loại
Tốc độ: Tốc độ quạt: 1500 ~ 1800 ± 10% RPM
Fan: 6 fans Thiết kế độc đáo với 6 quạt lõi I 8015 siêu tốc độ cho khả năng làm mát tức thì",0,coolcold,,đế tản nhiệt laptop
https://philong.com.vn,chuột máy tính không dây logitech m331 màu đỏ,350000,350000 đ,0,Không có,"Độ phân giải: 1000DPI
3 nút nhấn cơ bản và 1 cần gạt on/of
Kết nối không dây 2.4Ghz
Khoảng cách kết nối: 10m
Sử dụng pin AA với cảm biến quang giúp kéo dài tuổi thọ pin",1,logitech,Under 1M,chuột máy tính không dây
https://philong.com.vn,chuột máy tính không dây logitech m331 màu xanh,350000,350000 đ,0,Không có,"Độ phân giải: 1000DPI
3 nút nhấn cơ bản và 1 cần gạt on/of
Kết nối không dây 2.4Ghz
Khoảng cách kết nối: 10m
Sử dụng pin AA với cảm biến quang giúp kéo dài tuổi thọ pin",1,logitech,Under 1M,chuột máy tính không dây
https://philong.com.vn,máy chiếu phim gia đình 4k hdr benq tk800m,34500000,34500000 đ,0,Khuyến mại: Tặng kèm màn chiếu tự động 100INCH trị giá 1.100.000VNĐ (áp dụng đến 30.09.2019),"Máy chiếu phim dùng cho gia đình.
Độ sáng: 3000ANSI
Độ phân giải: 4K UHD (3840 x 2160
Bóng đèn: Công suất: 240W,  Tuổi thọ: 15.000 giờ
Kích thước màn chiếu: 30-300in
Kết nối: HDMI x2, VGA In, USB Type A, USB Type Mini B, RS232, DC 12V Trigger",0,benq,Above 20M,máy chiếu phim gia đình 4k hdr
https://philong.com.vn,bộ phát sóng wifi mesh asus lyra trio map-ac1750 ac1750 (1 chiếc/pack/aiprotection/2 băng tần),3099000,3099000 đ,0,Không có,"Loại bỏ vùng chết WiFi — Hệ thống wifi mesh băng tần kép, ba hub với một anten phát WiFi mạnh tới mọi góc nhà của bạn.
Đảm bảo kết nối luôn nhanh & mượt — công nghệ 3x3 MIMO và chuyển vùng liền mạch cho tốc độ WiFi vượt trội và tự động kết nối bạn với tín hiệu tốt nhất tại bất cứ đâu trong căn nhà.
Cập nhật liên tục tính năng bảo vệ — Bảo mật dựa trên đám mây miễn phí trọn đời bằng Trend Micro™ đảm bảo quyền riêng tư của bạn trên các thiết bị được kết nối được bảo vệ.
Parental Controls (Kiểm soát của cha mẹ) — Lọc và sắp xếp URL giúp bạn bảo vệ gia đình của bạn khỏi nội dung không thích hợp và hành vi sử dụng internet không lành mạnh.
Bạn kiểm soát — Ứng dụng Lyra của ASUS hỗ trợ cài đặt không cần PC (máy tính cá nhân), quản lý và chẩn đoán mạng và thông báo bạn về bất kỳ vấn đề gì.
Tương thích: Windows® 10, Windows® 10 64-bit, Windows® 8.1, Windows® 8, Windows® 7, Mac OS X 10.1 đến 10.12, Linux
Các kiểu kết nối mạng Internet: IP Tự động, IP tĩnh, PPPoE (hỗ trợ MPPE), PPTP, L2TP
Chuẩn mạng: IEEE 802.11a, IEEE 802.11b, IEEE 802.11g, IEEE 802.11n, IEEE 802.11ac",0,asus,1M to 5M,bộ phát sóng wifi mesh
https://philong.com.vn,"asus rt-ac67u (chuẩn doanh nghiệp) chuẩn ac1900 aimesh 360 wifi mesh, 2 băng tần, chipset broadcom, aiprotection, usb 3.0 (2 cái/pack)",6430000,6430000 đ,0,Không có,Không có,1,asus,5M to 10M,
https://philong.com.vn,bộ phát wifi asus rt-ac68u (chuẩn ac1900/3anten/2 băng tần/usb 3.0/2pack),7900000,7900000 đ,0,Không có,"Router WiFi hai băng tần AC1900 với công nghệ MU-MIMO
Tận hưởng Wi-Fi tuyệt với - Router băng tần kép siêu nhanh nâng tốc độ lên đến 1900Mbps, nhanh gấp 3 lần so với các router 802.11n.
Phủ sóng siêu rộng – Ăng-ten hiệu suất cao, ASUS AiRadar giúp loại bỏ các điểm chết.
Bảo mật cấp doanh nghiệp – AiProtection trên Trend Micro™ ngăn chặn và trung hòa các mối đe dọa bảo mật internet cho tất cả các thiết bị thông minh của bạn được kết nối
Hỗ trợ AiMesh - Kết nối RT-AC86U với các thiết bị mạng tương thích khác của ASUS để tạo một mạng Wi-Fi duy nhất phủ sóng toàn bộ ngôi nhà của bạn.
Kết nối: 5 cổng Gigabit Ethernet, 1 cổng USB 3.1 tốc độ cao và 1 cổng USB 2.0
Độ phủ sóng lên tới 400m2
Cho phép 50~70 thiết bị kết nối",0,asus,5M to 10M,bộ phát wifi
https://philong.com.vn,bộ mesh wifi asus rt-ac86u (ac2900/gaming router wifi/mu-mimo/aimesh/2 pack),9900000,9900000 đ,0,Không có,"Loại bỏ các vùng chết Wi-Fi — Hệ thống Wi-Fi mesh AC2900 băng tần kép phủ sóng Wi-Fi mạnh tới mọi ngóc ngách căn nhà của bạn.
Đặt tên mạng linh hoạt — Tạo ra một SSID duy nhất cho toàn bộ mạng và tách biệt các SSID cho mỗi băng tần.
Tính năng phong phú — Hoàn chỉnh chức năng của bộ định tuyến với các dịch vụ như VPN, QoS tương thích và hơn thế nữa.
Kết nối có dây giữa các bộ định tuyến — Tạo ra kết nối có dây tùy chọn giữa các bộ định tuyến để cung cấp mạng Wi-Fi nhanh hơn, ổn định hơn.
Bảo mật mạng trọn vẹn cho Gia đình – Hệ thống WiFi AiMesh AC2900 bảo vệ toàn bộ các thiết bị kết nối khỏi các mối đe dọa trên mạng và Advanced Parental Controls loại bỏ nội dung không thích hợp cho gia đình của bạn.",0,asus,5M to 10M,bộ mesh wifi
https://philong.com.vn,"bộ phát wifi gaming asus rog rapture gt-ac2900 (aimesh 360 wifi mesh, 2 băng tần, chipset broadcom, aiprotection, usb 3.0, aura rgb)",5990000,5990000 đ,0,Không có,"Tăng tốc chơi game ba cấp độ - Tối ưu hóa hoàn toàn các gói game trực tuyến từ PC của bạn tới máy chủ game.
Bộ định tuyến với chứng nhận GeForce Now – Tận hưởng trải nghiệm chơi game trên đám mây tuyệt đỉnh.
Hỗ trợ AiMesh - Kết hợp với các bộ định tuyến tương thích AiMesh của ASUS để tạo thành một hệ thống Wi-Fi phủ sóng toàn bộ căn nhà mạnh mẽ, linh hoạt và liền mạch.
Công nghệ bảo mật mạng hàng đầu – AiProtection Pro miễn phí trọn đời, được cung cấp bởi Trend Micro™ giúp bảo vệ tất cả các thiết bị được kết nối khỏi các mối đe dọa từ internet.
Công nghệ chiếu sáng ASUS Aura– nhiều hiệu ứng giúp tạo nên cá tính tiêng, đồng thời có thể thiết lập để báo trạng thái mạng của bạn.",0,asus,5M to 10M,bộ phát wifi gaming
https://philong.com.vn,"camera wifi dahua imou a22ep ranger 2 (2.0mp,xoay 355 độ,có thêm cổng lan)",890000,1.290.000 đ,31,Không có,"Độ phân giải: 2.0 MP
Vị trí: Trong nhà
Loại camera: IP
Tầm nhìn tối đa: Hồng ngoại tầm xa 10m, khả năng quay quét",1,dahua,Under 1M,camera wifi
